route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
중부내륙선(충주),194.72,265.13,236.84,237.34,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,243.98,244.62,절삭 덧씌우기,창원방향,3차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,248.03,248.58,절삭 덧씌우기,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,258.883,259.533,절삭 덧씌우기,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,208.567,209.107,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,229.49,230.67,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,244.62,244.87,절삭 덧씌우기,창원방향,3차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,255.2,255.79,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,259.715,260.8,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,233.8,234.4,표면개량,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,252.22,253.08,표면개량,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(충주),194.72,265.13,253.4,253.7,표면개량,양평방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부선,247.36,323.86,0.0,0.0,,,,,,,entry,하남방향,남이방향
중앙선,246.9,313.48,0.0,0.0,,,,,,,entry,춘천방향,부산방향
중앙선,246.9,313.48,255.93,256.0,절삭 덧씌우기,부산방향,1차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,255.93,256.0,절삭 덧씌우기,부산방향,2차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,257.97,258.41,절삭 덧씌우기,부산방향,3차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,257.675,258.68,절삭 덧씌우기,부산방향,2차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,260.29,261.09,표면개량,부산방향,2차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,260.29,261.09,표면개량,부산방향,1차로,20220000,2022,2025-11-10 17:47,entry,춘천방향,부산방향
중앙선,246.9,313.48,285.566,286.616,비절삭 덧씌우기,부산방향,1차로,20220000,2022,2025-11-10 17:48,entry,춘천방향,부산방향
중앙선,246.9,313.48,285.566,286.616,비절삭 덧씌우기,부산방향,2차로,20220000,2022,2025-11-10 17:48,entry,춘천방향,부산방향
중앙선,246.9,313.48,285.566,286.616,절삭 덧씌우기,부산방향,3차로,20220000,2022,2025-11-10 17:48,entry,춘천방향,부산방향
중앙선,246.9,313.48,291.1,292.1,표면개량,부산방향,2차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,291.16,292.1,표면개량,부산방향,1차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,294.92,295.52,표면개량,부산방향,1차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,294.92,295.52,표면개량,부산방향,2차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,296.62,299.14,표면개량,부산방향,2차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,296.62,299.14,표면개량,부산방향,1차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,309.72,311.0,표면개량,부산방향,2차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,309.72,310.64,표면개량,부산방향,1차로,20220000,2022,2025-11-10 17:49,entry,춘천방향,부산방향
중앙선,246.9,313.48,264.38,264.596,절삭 덧씌우기,춘천방향,1차로,20220000,2022,2025-11-10 17:50,entry,춘천방향,부산방향
중앙선,246.9,313.48,264.38,264.596,절삭 덧씌우기,춘천방향,2차로,20220000,2022,2025-11-10 17:50,entry,춘천방향,부산방향
